店铺名称,店铺id,,,,,
这么近那么远,http://www.dianping.com/member/22854781,40,口味：4.0 环境：2.0 服务：2.0 性价比：3.0 人均：60元,喜欢的菜： 油淋鸡 蛋黄南瓜,2019-02-19 00:52,杭州老底子的饭店，这次去也是机缘巧合为了招待广州来的驴友朋友特意找的特色杭州饭馆。「卤大肠」我觉得比德明的好吃哎，虽然他家大肠一直很有名哈「油淋鸡」好吃地道，像大学食堂的味道哈「蛋黄南瓜」好久没吃了，突然很怀念「卤鸭」不出错好吃「芦笋嫩菱」新鲜菱很嫩[环境]环境很一般，真的很吵啊啊，跟高级餐厅没法比，但是好在地道，等的人也很多，生意真心是好。[服务]人一多，服务就一般了，菜等了蛮久才上的。	
特务霄,http://www.dianping.com/member/45109911,40,口味：4.0 环境：4.0 服务：4.0 性价比：4.0,喜欢的菜： 糖醋里脊,2019-02-19 00:23,杭州菜，还是不错哒，早早过去，没有排队，点上了最后一份的糖醋里脊！开心，皮皮虾到底价格在那里，里面好几条带膏哒！都挺好吃的，大肠，沃豆腐，干锅花菜，雪菜蘑菇豆腐，本来想吃酸菜肥牛，问问老板有没有，被老板教育了一下，说的我们家从来不做肥牛的，哈哈哈，乖乖拿起菜单继续点菜。。。。	
Chen,http://www.dianping.com/member/1644950785,40,口味：4.0 环境：3.0 服务：3.0 性价比：4.0,,2019-02-18 18:24,我可能不太会点菜，一桌子都是炸物，大家吃的油腻腻然后就去找酒解腻去了哈哈「卤大肠」去年开始火起来的一道菜(在我认知范围内)，几家有名的店基本上大同小异，所以是可以想象的味道「油淋鸡」这个好吃，不柴的白斩鸡的感觉「干炸响铃」外地朋友最好评价出来最好吃的一道菜哈哈哈，理解不能「干炸带鱼」很香很酥，吃的出来是新鲜的带鱼「西湖醋鱼」这个就不评论了，人人都知道的游客菜，一般没事不去吃，点了反正都得剩一半「莼菜鱼圆汤」每次吃杭帮菜必须要吃的一道，莫名其妙的执念但是芋圆似乎缺了点筋道「杭式卷鸡」豆腐皮卷时蔬，无功无过另外还有七七八八几个菜记不得了我们大概是五点到的，没有等位拿了张圆桌，基本上的客人都是这个时候陆陆续续来的，所以五点也大概算是一个时间点，问我以后还会不会来的话，和本地朋友是不可能来的，外地朋友来的话，这算是一个好的推荐	
永远抓不到我,http://www.dianping.com/member/1693636566,40,口味：4.0 环境：3.0 服务：4.0 性价比：4.0 人均：80元,,2019-02-18 08:22,终于来吃福缘居惹！「卤大肠」想吃好久了终于呜呜呜。好吃！又香又脆！我还能再吃两盘！「醉虾」第一次吃。特别香。汤汁非常鲜美。但是感觉好残忍啊虾还是活的呢。「炸臭豆腐」也不错又香又臭，趁热吃！「蛋黄南瓜」还蛮多的。挺便宜。「片儿川」超！级！难！吃！是我吃过最难吃的片儿川！	
散步的鱼2001,http://www.dianping.com/member/27222695,40,口味：4.0 环境：4.0 服务：4.0 性价比：4.0,,2019-02-17 20:50,今天终于不下雨了，去南宋御街逛逛，来到种草很久的福缘居附近，用导航找了过去，门脸儿不大，一点多了吃饭的顾客还很多，但是不需要排队，点网友推荐脆皮大肠、油淋鸡、家常豆腐、炸带鱼，去的晚脆皮大肠没有了，油淋鸡很嫩，也不油，挺好吃的；家常豆腐有点炸焦了，味道还可以；带鱼很香很脆。很正宗的杭帮菜了。	
羊大一卪卪,http://www.dianping.com/member/8529935,30,口味：3.0 环境：4.0 服务：3.0 性价比：5.0,喜欢的菜： 醉虾,2019-02-17 19:26,冒着大雨去的，感觉没有心中那么高的期望。醉虾，好评，酱汁酸甜辣，混合的恰到好处，虾很新鲜，打开的时候还在里面蹦跶蹦跶。脆皮大肠，排行榜第一位。讲真，一般般。大肠有炸锅，但是一点都不脆，应该是统一炸好了放在那边的吧。卤汁也一般般，感觉微微有点发苦，不知道是不是酱油的问题。尖叫笋干炒五花肉，好评，下饭菜。炸臭豆腐，好评，建议配个甜面酱，只有辣椒酱，不吃辣的朋友只能干吃了。糖醋里脊，真的真的真的都是面粉，酱汁太酸了。不过10块一盘，也可以理解。	
泡泡鱼_7227,http://www.dianping.com/member/1158702870,40,口味：4.0 环境：4.0 服务：4.0 性价比：4.0,喜欢的菜： 油淋鸡 蛋黄南瓜,2019-02-17 16:49,我们去的比较晚了好在还营业两个人点了四个菜很够吃「卤大肠」这个真的很好吃从来没吃到过外面是脆脆的大肠卤味很够！「油淋鸡」量很足很满一盘鸡肉比较嫩吃多了感觉也就这样「蛋黄南瓜」个人蛮喜欢吃的吃多了难免会有点腻「芦笋嫩菱」这个没想象中的那么好吃芦笋有点老嫩菱也不是很好吃	
卡罗尔,http://www.dianping.com/member/807665094,40,口味：4.0 环境：3.0 服务：4.0 性价比：5.0 人均：50元,,2019-02-17 13:50,第二次来，与第一次一样依旧是爆满的人，取完号大概等了半个钟头才轮到。生意是真的好呀葱油花蛤#味道还行，但是泥沙太多了....吃了几颗实在是吃不下去，跟服务员沟通了一下便给我们撤掉了...相比之下新周记的葱油花蛤会干净些也会大一些卤肥肠#可能是天气的原因一端上来就有点凉，给我的感觉不如第一次的惊艳，而且蘸料也是油乎乎的都结块了....蛋黄南瓜#好评，很好吃油淋鸡#味道也不错菠菜#不知道为啥吃完菠菜舌头感觉涩涩的沃豆腐#味道偏淡，但是淋着饭吃还是很下饭的呢	
小眉M是一只鱼,http://www.dianping.com/member/25642107,30,口味：4.0 环境：3.0 服务：3.0 性价比：5.0 人均：0元,,2019-02-17 12:35,nice！nice！这脆大肠杭城怕是少见，即使是新X鹿，外X家也是没吃到的，难怪成为老店首推（老店太少，10年难得的）其次朋友爱的醉虾，酱汁够劲道，选的虾个个肥美鲜活，“醉晕”了上桌10分钟不止，还是在跳动，不喜慎点。蛋黄南瓜，很一般，后要了一些盐，自行做了调味。南瓜选材不好，蛋黄糊的不好，口感不够咸南瓜也不够甜，top3如何得来的？糖醋里脊每晚供应的份数不多，虽然真的！真的很便宜，但除非你想吃很多的糖醋汁面粉，不然不要点了。蛏子超级肥美，并且很干净，也非常入味，满满一碗，五星点赞。最后、店太火，不想等位的五点前一定要到了。	
灰灰爱喝粥,http://www.dianping.com/member/1452806412,40,口味：5.0 环境：5.0 服务：4.0 性价比：4.0 人均：90元,喜欢的菜： 醉虾,2019-02-16 17:42,和同学过来吃它家的卤大肠，本来以为会比较腥我不太喜欢，结果尝了一下，挺好吃的，没有大肠那种难闻的味道，不亏是招牌，确实不错~臭豆腐也还行，不是特别臭，所以也能接受醉虾，活的喝醉的虾，还带动的，味道酸甜中有一些辣，三两的量还挺多的，够三个人吃小份的片川和炒饭，量真的很实在，高估了自己的饭量~	
Esther嗷,http://www.dianping.com/member/102655632,50,口味：5.0 环境：4.0 服务：4.0 性价比：4.0,,2019-02-16 12:42,地址就在驾校中心旁边，挺好找的，即使车子不怎么好停，工作日的中午人也不多，所以很快就找到了位子坐下。「卤大肠」可能是网上吹嘘的过分了，吃到嘴里的时候，没有很惊喜诶？就还挺普通的大肠，我吃的时候，有点冷了，所以只吃了几口就没继续吃/「油淋鸡」这个🐔真的也太好吃了吧，很喜欢皮有点点脆，里面的肉还是很嫩很嫩的，葱油的香味实在太诱人了，不过希望店家以后可以切的小块一点，个人觉得有点太大啦/「蛋黄南瓜」蛋黄南瓜真的很棒诶，蛋黄味十足，刚上来的时候很烫，我没忍住吃了，口腔上壁被烫破了，呜呜呜呜可是还是好好吃，太喜欢这种绵绵的南瓜了。「炸臭豆腐」是真的真的臭豆腐，很臭很臭的那种，我原本以为和街头卖的臭豆腐一样臭味不重，结果吃了一个入口，真的好臭呀，同桌的人吃的不亦乐乎，想必是很对他们的胃口。「上汤菠菜」就是很普通的上汤菠菜啦～	
纯味猫儿,http://www.dianping.com/member/6676102,40,口味：4.0 环境：4.0 服务：4.0 性价比：4.0 人均：80元,,2019-02-16 00:07,刨三碗饭不带喘气儿的配置吹爆卤大肠	
匿名用户,匿名用户,10,口味：1.0 环境：1.0 服务：1.0 性价比：1.0,,2019-02-15 19:47,晚上慕名而来吃的脏乱差吵不解释………	
菲飞草,http://www.dianping.com/member/35264960,40,口味：4.0 环境：3.0 服务：4.0 性价比：4.0,,2019-02-15 15:35,看到照片才发现这家还没点评。离住的酒店不算远，附近几家网红店都排很长的队，就来这边碰碰运气。可能因为门口修路的关系，我们晚上7点多的时候没有排队。是一般的社会饭店的样子，环境虽然一般但是服务响应快。印象比较深刻的是那道卤大肠，在苏州没吃到过，味道很好，儿子一个人干了半份。杨梅醉虾虾很新鲜也很大，我倒觉得可以个头稍微小一点，更容易入味。	
一直游走的阿呆,http://www.dianping.com/member/41852668,40,口味：4.0 环境：4.0 服务：4.0 性价比：4.0,,2019-02-15 13:21,「卤大肠」「油淋鸡」「炸臭豆腐」「西湖莼菜汤」卤大肠强烈推荐，外酥里嫩，没有异味，很惊喜其他几样无功无过吧特意挑了星期中间去的，人还是非常多，不过两个人拼桌还是很快，上菜也比较快，环境一般，冲着卤大肠还会再次光顾哒～	
阿诺德2000,http://www.dianping.com/member/756114780,40,口味：4.0 环境：4.0 服务：4.0 性价比：4.0,,2019-02-14 09:02,还是油淋鸡比较好，极力推荐。大肠也是处理的很干净，属于我喜欢的那种类型。	
阿水好好吃,http://www.dianping.com/member/967167,50,口味：5.0 环境：4.0 服务：4.0 性价比：4.0 人均：90元,喜欢的菜： 油淋鸡 三鲜汤 蒜子炒鳝段 腌菜抱荷包蛋 臭豆腐炒毛豆,2019-02-14   更新于2019-02-15 04:07,手机里的图有一大堆因为真的去太多次了是那种，二人世界的周末会去吃朋友来了也迫不及待带去吃想不出吃什么的时候还是会去的小馆子新店环境比之前宽敞明亮了许多菜品还是很稳定招牌菜好吃，随便点也都好吃大肠真的很棒比另外那家备受媒体亲睐的更好其实虾油系列也很爱是杭州独特的一种味道夏天来一份虾油门腔（就是猪舌）特别特别过瘾毛豆炒臭豆腐分分钟可以吃三碗饭另一个下饭利器是倒笃菜荷包蛋用鹌鹑蛋煎的荷包小蛋超级可爱，非常香在这家吃饭很容易多点于是人均不便宜，但是值得	
一只小鹿鹿鹿鹿鹿,http://www.dianping.com/member/125083522,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0,喜欢的菜： 油淋鸡 蛋黄南瓜,2019-02-13 15:07,久闻大名，但一直没来过。正好在旁边的银盐喝下午茶，就想着来打开一下。不出意外果然还要等位，等到七点多。还算快。点了招牌的几个菜，单只拍了大肠和油淋鸡。火还是有理由的，大肠很香（没错）哈哈哈哈哈，油淋鸡我疯狂打call，我这种一次吃不了两块鸡肉的，连吃了好几块🙈好了好了下次再来打卡别的菜	
葱油小生,http://www.dianping.com/member/6057733,50,口味：5.0 环境：4.0 服务：3.0 性价比：4.0 人均：100元,喜欢的菜： 酱肉冬笋蒸素鸡,2019-02-12 19:04,份量足口味正双臭相当赞虾油卤猪肚偏咸酱油肉也不错下次再来哈	
好吃至欢的霜茉,http://www.dianping.com/member/40128474,40,口味：5.0 环境：4.0 服务：4.0 性价比：4.0 人均：88元,喜欢的菜： 油淋鸡 笋干菜河虾 雪菜冬笋蘑菇,2019-02-12 17:38,周日闲晃到杭州，原本选出来的店居然休息，立马掉头来了福缘居。因为有大肠！赶在午市结束前几分钟到，先点了「卤大肠」，害怕吃不到！选的比较厚实的大肠部分，依然入味好吃——外皮酥脆，里面肉很厚但是很柔软，还有汁水，咸淡适中，难得有这么好吃的，超级赞！「油淋鸡」一上来就超级香！葱香鸡肉香此起彼伏，实在让人忍不住吞口水！鸡肉嫩又鲜香入味，最好吃的要数鸡皮，薄薄的一层，鸡油香葱香卤料香全都在这里集合，垂涎三尺啊！店员推荐的应季菜——「笋干菜河虾」，河虾非常鲜，肉QQ的，再多点籽就更好吃了！「雪菜冬笋蘑菇」也是咸鲜味，冬笋嫩脆实在好吃！[环境]门口在修地铁，走路留心以免错过。欲知详情请关注我的公主号——好吃至欢。	
风中的GC,http://www.dianping.com/member/860364954,40,口味：4.0 环境：4.0 服务：4.0 性价比：4.0,,2019-02-12 14:21,带着孩子出门寻找美食，无意间撞见福缘居酒楼，里面环境温馨大方，卫生干净整洁，服务生笑容亲切，态度谦谦有礼。最最主要的是我爱吃的红烧大肠，实在dai太好吃了，肥而不腻，而且一点异味也没有，糖醋里脊酸酸甜甜，口感太美味了。	
search91,http://www.dianping.com/member/41185798,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0,喜欢的菜： 油淋鸡,2019-02-11 19:35,油淋鸡好吃家常豆腐不好实惠	
圆嘟嘟的小小白,http://www.dianping.com/member/64561673,40,口味：4.0 环境：4.0 服务：1.0 性价比：4.0,,2019-02-10 21:00,位于吴山广场那边…是一家特色杭帮菜馆子，环境属于那种偏中式，略简单的风格，这家店的卤大肠非常有名，大肠卤的非常入味，里面清理的很干净，香而不腻～油淋鸡味道也不错，看上去油油的，但是实际上吃起来又嫩又香又甜，一点都不腻～	
shiyuanlimei,http://www.dianping.com/member/92814933,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0,,2019-02-10 19:51,到了杭州后去的第一家餐厅，还好离我们的酒店不远，十一点钟营业，我们超十分钟到店，不巧碰上了排位，不想等了选择了拼桌，不得不说除了推荐菜大肠外，其他菜都挺好的，大肠真的不好吃，我还是非常喜欢吃大肠的人！特别特别尼，吃了几个我一下午都不舒服，而且老板娘的态度……	
momomiruku,http://www.dianping.com/member/1099430,50,口味：5.0 环境：4.0 服务：4.0 性价比：5.0,,2019-02-10 18:13,我们家的年夜饭～因为过年外出旅游年二九就定了吃年夜饭老妈指名要到福缘居！油淋鸡上次去没吃成所以这次第一个定的就是这个菜好好吃鸡肉很嫩外皮油香连上面的葱花都被我吃得干干净净！老妈说要是有面条拿这个汤汁拌面就太赞了！这个可以有啊醋溜鱼头这是个我们家自己也经常烧的菜很老杭州的味道～很入味连配菜萝卜都酥烂多汁！杭三鲜真的鲜！汤被我喝完了还能再来一碗！拌川第一次在饭店里点拌川味道中规中矩地道杭帮面～	
穆罕默德与山,http://www.dianping.com/member/6453826,40,口味：5.0 环境：4.0 服务：4.0 性价比：4.0,,2019-02-10 09:44,招牌猪大肠真的很不错，不枉我辛辛苦苦找了半天。醉虾也很好，调味料不错，口感很好，就看有没有吃的勇气了但去的时候，门口正在修地铁，都屏蔽起来了，导致店面看起来很不起眼，差点就错过了！好在进去见到很多人，这才坐下了尝试	
安瑾岩,http://www.dianping.com/member/805910855,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0,,2019-02-09 22:05,地道的杭帮菜，「卤大肠」油炸灌肠特别好吃，吃过一次念念不忘「油淋鸡」第一次吃，吃多了会感觉腻，不过不吃又想它「西湖醋鱼」第一次吃，北方人没吃过这么吃感觉很稀奇「宋嫂鱼羹」也不错，冷冷的天喝起来感觉特别暖	
瞳七,http://www.dianping.com/member/799585260,40,口味：5.0 环境：3.0 服务：3.0 性价比：5.0,喜欢的菜： 油淋鸡,2019-02-09 21:30,五点左右到的，排队大概四十分钟多，开店前来应该不用排很久。超级好吃！！炸大肠和油淋鸡太棒了！有个什么荤素的炒菜也很鲜；醉虾全是活的，酱汁加了南乳跟以前吃的味道不太一样，盖了好久还是很能跳；响铃一般，最后上的瓦罐鱼太大了吃不完	
C.C.Tang,http://www.dianping.com/member/192548121,40,口味：3.0 环境：3.0 服务：3.0 性价比：3.0,,2019-02-08 12:36,中午的福缘居总是人头攒动，稍微晚到一会就得等座，基本都是四人座在虾油鸡和油淋鸡纠结了五分钟，最后还是被服务员确认下改回了油淋鸡菜量基本都挺大的，两个人四个菜，不点饭，就已经吃不下了，本是冬笋的时候，店里炒的很一般，算踩雷了	
不是盐汽水_,http://www.dianping.com/member/1062806174,40,口味：4.0 环境：3.0 服务：3.0 性价比：4.0,,2019-02-08 09:13,新崛起的网红杭帮菜「福缘居」兰边碗关门之后，杭帮小菜馆失去了一大支柱，福缘居从去年风还蛮大的，要来试一下下。油淋鸡，皮炸的一点点脆，鸡肉滑滑的，不过这样做法的鸡会有一点老无味感，血味渗在肉里会有一点味道，配上酱汁就还不错。卤大肠，大肠处理的好干净，脆脆的油乎乎，酱汁有点咸，不过肥厚厚的油脂带来的幸福真是赛高。蛋黄南瓜，炸的脆脆的配上香喷喷的咸蛋黄，趁热吃一定要趁热吃，冷了会回出蛮多油就下不去手了。环境嘛很吵，餐具什么也很简陋，和朋友聚餐不建议这里，味道整体还不错，会为了大肠再去的，想念兰边碗的猪蹄😯	
icebluen,http://www.dianping.com/member/836380276,40,口味：4.0 环境：4.0 服务：4.0 性价比：5.0 人均：75元,喜欢的菜： 油淋鸡,2019-02-06   更新于2019-02-07 01:33,油淋鸡炸过的鸡肉淋上葱油美滋滋分量很大卤大肠嘻嘻和朋友是大肠爱好者就是被这道菜吸引过来的配了咸甜的酱汁肥肠也很有韧性好次蔬菜点了茄子这个感觉稍微逊色一点不是特别入味有一点点小油点了个番茄鸡蛋汤好喝！很性价比很高很家常！菜滴分量都比较大人多一点吃比较合适	
城食,http://www.dianping.com/member/20134249,40,口味：4.0 环境：4.0 服务：4.0 性价比：4.0,,2019-02-06 16:43,我一定是漏拍了一张照片，头天晚上的鲻鱼、这天中午的船丁，都是之前来杭州闻所未闻的——这不代表稀缺，是孤陋寡闻，脆皮大肠确实是亮点，生意火，老板是老苏杭范儿十足，带着些须不容置疑的客套。可我还在懊丧忘记拍了的那条鱼。	
阿哲,http://www.dianping.com/member/96033323,40,口味：4.0 环境：4.0 服务：4.0 性价比：4.0,喜欢的菜： 油淋鸡,2019-02-06 13:00,不错的杭帮菜小馆子，他家的油淋鸡和卤大肠最好吃。看别人的幸福发觉自己也会被感染（我是有多无聊一个人坐在西湖边上拍了这么多别人的照片[允悲]如果照片里的人刷到这条微博我想说我真的很羡慕你们的幸福）我无所畏惧因为我终于也要回家了啊为了这一刻我已经等了太久​。	
小顽子八爪鱼,http://www.dianping.com/member/757578500,30,口味：3.0 环境：3.0 服务：3.0 性价比：3.0,,2019-02-06 12:04,【VIP有特权】本来去新周记，结果全是人，拿了号码让同伴等在新周记，自己找过来，在西鼓楼小区这边，感觉这边应该不用等位吧，一路过来都没有什么人，结果……结果居然关门大众上信息还是营业中，没有更新，店家贴着公告，希望大众更新下信息，别让人白来一趟了，今天杭州好热╰（‵□′）╯	
匿名用户,匿名用户,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0,,2019-02-06 11:48,味道超级棒，是大学的时候在杭州最爱吃的店，基本上每个周末都要从小和山过来吃一顿，就是有一点难找，第一次去还找了挺久的。现在大学毕业都两年了，回想起这家店还是会觉得很好吃，有机会去杭州的话，一定还会去吃这家店。	
乐乐,http://www.dianping.com/member/183163245,50,口味：4.0 环境：3.0 服务：3.0 性价比：3.0,,2019-02-05 21:14,杭州本地菜好吃的不多这一家当时点了大肠，油淋鸡，雪菜甜豆，片儿川。说实话，只有大肠值得一试，而且很值得一试，不错。油淋鸡不入味，鸡肉嫩的嫩柴的柴，非常一般。另外两个……都是什么鬼……	
金豆麻麻,http://www.dianping.com/member/33422387,50,口味：5.0 环境：5.0 服务：4.0 性价比：4.0,,2019-02-05 19:18,大肠不错，肥而不腻；腰花没什么腥味，干炸带鱼也很好吃！	
爱吃鱼的大虾米呀,http://www.dianping.com/member/1006691517,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0,喜欢的菜： 油淋鸡,2019-02-05 12:45,杭帮菜中的网红店，值得一去。卤大肠：是必点的一道菜，大肠处理得非常干净，再配上卤汁简直是不能再完美了，非常下饭。完美的一道菜。油淋鸡：分量十足，鸡肉很嫩，吃起来一点也不柴，配上油汁相当美味，吃起来是一点也不腻。	
kuaikuai90314,http://www.dianping.com/member/18330673,30,口味：3.0 环境：2.0 服务：2.0 性价比：3.0,,2019-02-04 22:03,菜量不小，但是上菜速度太慢了，我们是中午第一家去吃的，等了三刻钟最想吃的大肠、油条迟迟不上来，因为赶火车只能把菜退了。环境很一般，找到这家饭店的时候有点不敢进门，不过生意还是不错的，感觉左右街坊邻居是常客。	
__rc__,http://www.dianping.com/member/119659364,40,口味：4.0 环境：3.0 服务：3.0 性价比：3.0,喜欢的菜： 油淋鸡 蛋黄南瓜 醉虾,2019-02-03 08:00,看到小红书推荐特地去吃的。晚上过去排队大概排了半小时吧。人满多的。点了几个招牌菜。醉虾真的蛮好吃的。蛋黄南瓜我觉得一般般如果可以甜一些就好了脆皮大肠很好吃很香最喜欢的一道菜油淋鸡也蛮好吃的以后去杭州还回去吃	
金晓晨_Oilv,http://www.dianping.com/member/50915276,50,口味：5.0 环境：3.0 服务：4.0 性价比：5.0,喜欢的菜： 油淋鸡,2019-02-03 02:42,老牌子老牌子啊他们家真的是天天爆满卤大肠：红卤大肠，脆皮。真是赞。杭州做大肠好吃的店不多，他们家是一家。油淋鸡：这个才是他们家的王者级招牌啊！！！又嫩，又鲜美，又多汁。端上来趁热吃，明明那么油却一点都不会腻。然后是八宝酱丁八宝油条。也是老底子那种厚重的口感。杭帮菜啊杭帮菜啊~就是过年去后面有几个死老头大腹便便高声喧哗边上那么大的禁止吸烟标语个几个文革余下来的老头儿喷烟喷的个欢。希望年后店家可以整顿整顿这方面。	
记录日常饮食,http://www.dianping.com/member/52365302,20,口味：2.0 环境：2.0 服务：2.0 性价比：2.0,,2019-02-02 22:16,来之前电话打不通打车过来结果打烊了点评还写着营业中	
千金小丫鬟,http://www.dianping.com/member/758805860,40,口味：5.0 环境：4.0 服务：4.0 性价比：5.0,,2019-02-02 15:01,口味还不错，性价比超级高。但是排队很长，如果不爱排队的朋友还是算了。推荐菜：大肠，的确很好吃。蛋黄南瓜，南瓜很嫩。油淋鸡，鸡肉是一般的鸡，但是很嫩。不推荐：酒酿圆子，酒酿有点淡，勾芡有点浓。卤鸭，卤汁很好吃，鸭肉有点膻。	
有滋有味,http://www.dianping.com/member/1936473,20,口味：2.0 环境：2.0 服务：2.0 性价比：2.0,,2019-02-02 11:59,春节关门请说一声好吗，兴冲冲赶过去，只有墙上一张告示！大家别去了，关门了！火大死了，杭州过年真没什么可去的，开着的店比如流芳面馆涨价百分之五十，更多的店就关门了！一点都不像旅游城市。	
zaoyong123,http://www.dianping.com/member/42465796,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0,,2019-02-02 08:38,上次来杭州就想去，因为时间来不及了。这次来杭州第一天就去了，5点半到店里被告知要等位，可以拼桌。我们等了20分钟幸运吃上了，点了招牌菜油淋鸡，炒鳝段和爆炒腰花，怕吃不了所以没有点大肠，杭州本地人很多，最后4个菜一瓶啤酒和一个饮料共204元，性价比高。	
大大大大大树子,http://www.dianping.com/member/211666659,50,口味：5.0 环境：4.0 服务：4.0 性价比：5.0 人均：80元,喜欢的菜： 蛋黄南瓜,2019-02-01 22:52,居然还没给福缘居写过点评一定要补上已经数不清去过几次了在附近会去吃外地朋友来会去吃想吃大肠了会去吃觉得好久没去了会再去吃哈哈哈菜品就不多说啥了吧到目前为止没踩过雷有份量太大吃不完的有想吃这个想吃那个结果点多了吃不完的从没有因为不好吃剩下的还是想特别说一下原本我是不吃大肠的吃过这儿的大肠后仿佛又打开一扇门开始尝试各家的各种大肠目前福缘居大肠依然稳居第一啊写完又想吃了～	
芝士珊珊,http://www.dianping.com/member/35623542,50,口味：1.0 环境：1.0 服务：1.0 性价比：1.0,,2019-02-01 19:13,缺祖宗的可以尝试一下至于口味。。各位不要相信小红书了，请卸载	
flyljm,http://www.dianping.com/member/1996574,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0,喜欢的菜： 蛋黄南瓜,2019-02-01 14:23,老杭州的味道，在惠民路时不觉得有多热闹，还不是网红，不知道哪一天变成了网红店，虽然搬到了河坊街，修地铁依旧不影响他的生意，中午11点半到时还有位置，不一会儿就要拼桌了！20元一份的油炸臭豆腐鲜香酥脆，就是咸了一点，但好吃的依旧停不下来！蛋黄南瓜推荐推荐，外面裹着厚厚的咸蛋黄，虽然热量高但还是爱不释手！人均40几元吃的满满饱饱啦！	
笙歌iy,http://www.dianping.com/member/1383084266,40,口味：5.0 环境：4.0 服务：4.0 性价比：5.0,,2019-02-01 09:46,脆皮大肠真的是好吃到爆啊，西湖醋鱼比较新鲜，醉蟹不建议点，青菜的分量很大，两个人跟本吃不掉，油淋鸡的味道也很棒，但是鸡肉比较柴不是很新鲜，本来想再点几道菜，老板严厉的制止了我们，直接不让我们点了。酒水比较贵，建议自带	
嚓啦,http://www.dianping.com/member/56480417,40,口味：4.0 环境：4.0 服务：4.0 性价比：4.0,,2019-02-01 08:59,机缘巧合搜到这家网红店，环境和服务就不要要求太高了，菜品还是不错的，性价比贼高！脆皮大肠收拾得很干净，外脆里嫩，很有嚼劲；鸡肉肉质鲜嫩；咸蛋黄南瓜炸得刚刚好，就是咸蛋黄不够多味道还差一口气....家常豆腐烧的很入味，有点偏咸	
总是点太多,http://www.dianping.com/member/57259500,40,口味：4.0 环境：3.0 服务：3.0 性价比：4.0,,2019-01-31 21:47,在杭州玩的时候找的一家杭帮菜，人气挺旺的，还没到饭点差不多坐了三分之一的位子了，点了「油淋鸡」味道不错，量也不少，给的位置是靠胸的，个人比较喜欢，「卤大肠」必点，去的比较早但不知道为啥已经卖完了，等了差不多一个小时才卤好新的，味道确实不错，外边炸的脆脆的里面酥软，蘸上特制的酱，作为脂肪肝患者都忍不住多吃了好几口，「醉虾」18元1两，三两起售，味道很好，虾很新鲜，喜欢。「片儿川」不推荐，面比较硬，味道也很普通。	
wonder_3869,http://www.dianping.com/member/1053978994,50,口味：4.0 环境：3.0 服务：4.0 性价比：5.0,,2019-01-31 20:41,[环境]超级热闹，不过就像大多数普通路边小吃店，环境一般，菜价实惠，量大，有不少上了年纪的大爷大妈来吃。[服务]可能是太热闹了，而且有拼桌，服务员似乎不太记得过来谁点的菜。「雪菜冬笋蘑菇」本来想点「芦笋嫩菱」的，无奈太畅销买完了，就点了它，食材都是我喜欢的，味道也很鲜美。「卤大肠」本人对大肠无感，女票点的，似乎再脆一点比较好。「葱油鲈鱼」和大多数饭店烹饪时间可能稍微长了一点，不过和家里差不多，我挺喜欢。	
我是小猪妮妮,http://www.dianping.com/member/29726887,40,口味：4.0 环境：4.0 服务：4.0 性价比：4.0 人均：0元,,2019-01-31 17:13,人太多，质量不稳定，偏咸，付完帐，回家一看，老板把隔壁桌的饮料都记在我这里啦！	
阮福临,http://www.dianping.com/member/18101301,50,口味：5.0 环境：3.0 服务：3.0 性价比：4.0 人均：50元,喜欢的菜： 油淋鸡 蛋黄南瓜 酱肉冬笋蒸素鸡,2019-01-31 15:01,本来想去宝美！但宝美关门了刚好在附近就来福缘居啦运气真好第二天就关门！来了必点几个菜！顺便扫扫福「卤大肠」每次来必吃！但说起卤大肠感觉还是德明更好吃～「油淋鸡」真的是必点！还顺便打包了一只！超级入味也不会很腻！鸡肉还很嫩！「蛋黄南瓜」现在很多店都不做这个菜了！蛋黄南瓜一定要用粉粉的南瓜，制作也很繁琐。所以可以吃到这么好吃的蛋黄南瓜真是幸福🌟「酱肉冬笋蒸素鸡」真的超好吃！素鸡真的很入味，还很嫩！还点了蒸双臭～我感觉双臭还是万人缘最赞！我们是十一点半到还没什么人！过了半小时就开始排队了！服务员态度倒是不怎么滴但也不要求太多啦！杭州必打卡的店！	
大王亲自来巡山,http://www.dianping.com/member/2241962,40,口味：4.0 环境：3.0 服务：3.0 性价比：4.0,,2019-01-31 14:34,周末11点出头到店，还有位置。赶紧坐下点了脆皮大肠，大肠处理得非常干净，皮很脆，大肠软糯。另外臭豆腐煎毛豆很好吃，毛豆甜、臭豆腐香。东坡肉一般。	
